Nom,Description,Stock,Poids,Catégorie,Prix en cents d'€,Nb de ventes - ca
Tourbillon,"Feutre taupé, bord sculpté, relevé arrondi, découpé et étiré en tourbillon couleur: orange; bouton vintage couleur bleu.
 la forme de ce chapeau vous mettra en valeur grâce à son bord déporté qui dégage la nuque.
 Il va très bien à toute sorte de visage, même avec des lunettes 
Taille 57",1,640,chapeaux hiver,19800,"0 - 0,00 €"
cloche Brodée,"cloche souple en feutre noir fin, feutrée et rebrodé en laine camaieu  bleu/blanche.
Le bord peut se porter droit, relevé, ou asymétrique;
Sa souplesse le rend pratique pour les voyages
Taille 56/57
Pièce unique
",1,600,chapeaux hiver,8800,"0 - 0,00 €"
Feutre taupé,"ce feutre haut de gamme , très léger, très chaud est en feutre de poils aspect velours raz.
De forme cloche, le bord est modulable pour le personaliser

Couleur vert vif
Taille 56",1,700,chapeaux hiver,22000,"0 - 0,00 €"
bandeau modulable,"Ce bandeau est en fibre végétale: bananier et buntal (dérivé du palmier) couleur bleu marine
 Il peut s'étirer verticalement , se portant ainsi plus ou moins haut et se porter dans deux sens .
Pratique pour voyager, il se met à plat.

Taille 57 -  toutes autres tailles et couleurs à la demande ",1,400,Bandeaux fibres végétales,7800,"0 - 0,00 €"
Tourbillon,"Paille ""parasisal"" bord sculpté relevé arrondi, découpé et étiré en tourbillon couleur: naturelle bouton vintage couleur or
 la forme de ce chapeau vous mettra en valeur grâce à son bord déporté qui dégage la nuque
Il va très bien à toute sorte de visage, de coiffure, même avec des lunettes
Taille 56/57",1,600,Chapeaux été,17400,"0 - 0,00 €"
cloche casquette,"forme asymétrique en parasisal casquette et revenant sur la nuque en cloche
ruban et bouton de paille tressée cousue main
couleur or
Taille 57
",1,600,Chapeaux été,17000,"0 - 0,00 €"
cloche sisal,"sisal noir drapé enroulé avec corde naturelle
l'asymétrie permet des port multiples selon la coiffure, le visage ou son humeur
taille 56",1,400,Chapeaux été,12000,"0 - 0,00 €"
Tourbillon,"Paille ""parasisal"" bord sculpté relevé arrondi, découpé et étiré en tourbillon couleur :noir bouton vintage couleur blanc mat
 La forme de ce chapeau mettra votre visage en valeur grâce à son bord déporté qui dégage la nuque 
Taille 56/57",1,600,Chapeaux été,16500,"0 - 0,00 €"
bandeau modulable,"Ce bandeau est en fibre végétale: bananier et buntal (dérivé du palmier) couleur naturelle
 Il peut s'étirer verticalement , se portant ainsi plus ou moins haut.
 Il peut se porter dans deux sens 

Taille 57 toutes autres tailles et couleurs à la demande
",2,400,Bandeaux fibres végétales,7800,"0 - 0,00 €"
Tourbillon,"Paille ""parasisal"" bord sculpté relevé arrondi, découpé et étiré en tourbillon 
couleur : vieux rose 
bouton vintage couleur bordeau 
la forme de ce chapeau mettra votre visage en valeur grâce à son bord déporté qui dégage la nuque 
Taille  56/57",1,600,Chapeaux été,17400,"0 - 0,00 €"
